fecha,dia,deporte,partido,hora,mercado,apuesta,cuota,probabilidad,edge,kelly,stake,status,roi_real
2025-12-10,MAÑANA,NBA,Lakers vs Spurs,19:00,Moneyline,Lakers,1.75,,0.019,,186.0,CASH_OUT,0.3
2025-12-10,MAÑANA,NBA,Celtics vs Thunder,21:30,Total Puntos,Over 228,1.88,,0.038,,381.0,CASH_OUT,0.3
